////////////////////////////////////////
/////////// K := 2; N := 20; ///////////
////////////////////////////////////////

T = 1.649673487945296 [s]

Server #        U               X [1/s]         n_avg           R [s]          
0               0.606173        121.236112      1.981019        0.016340       
1               0.242476        12.123150       0.366233        0.030209       
2               0.181889        12.125269       0.269250        0.022206       
3               0.181852        12.122814       0.269215        0.022207       
4               0.945634        47.280277       8.553347        0.180907       
5               0.945737        47.285413       8.560936        0.181048       


////////////////////////////////////////
/////////// K := 3; N := 20; ///////////
////////////////////////////////////////

T = 1.1958848597101901 [s]

Server #        U               X [1/s]         n_avg           R [s]          
0               0.836194        167.240181      4.405003        0.026339       
1               0.334480        16.724575       0.541734        0.032392       
2               0.250838        16.723100       0.378254        0.022619       
3               0.250824        16.722208       0.378256        0.022620       
4               0.869605        43.479708       4.763332        0.109553       
5               0.869720        43.485475       4.769001        0.109669       
6               0.869639        43.481413       4.764420        0.109574       


////////////////////////////////////////
/////////// K := 4; N := 20; ///////////
////////////////////////////////////////

T = 1.0468756295812649 [s]

Server #        U               X [1/s]         n_avg           R [s]          
0               0.955178        191.044661      7.798205        0.040819       
1               0.382114        19.105197       0.654094        0.034236       
2               0.286559        19.103411       0.443905        0.023237       
3               0.286564        19.103719       0.443865        0.023234       
4               0.744983        37.253495       2.664281        0.071518       
5               0.744962        37.252399       2.664725        0.071532       
6               0.745011        37.254892       2.665532        0.071549       
7               0.745029        37.255792       2.665393        0.071543       


////////////////////////////////////////
/////////// K := 5; N := 20; ///////////
////////////////////////////////////////

T = 1.0113052645026548 [s]

Server #        U               X [1/s]         n_avg           R [s]          
0               0.988832        197.764223      10.229569       0.051726       
1               0.395518        19.775296       0.694730        0.035131       
2               0.296707        19.779828       0.466507        0.023585       
3               0.296661        19.776771       0.466486        0.023588       
4               0.617062        30.851447       1.628638        0.052790       
5               0.617096        30.853138       1.628463        0.052781       
6               0.617081        30.852417       1.628748        0.052792       
7               0.617043        30.850464       1.628225        0.052778       
8               0.617009        30.848747       1.628634        0.052794       


////////////////////////////////////////
/////////// K := 6; N := 20; ///////////
////////////////////////////////////////

T = 1.003343936892314 [s]

Server #        U               X [1/s]         n_avg           R [s]          
0               0.996674        199.333442      11.590506       0.058146       
1               0.398636        19.930395       0.706859        0.035466       
2               0.299060        19.935940       0.472971        0.023725       
3               0.298965        19.931936       0.472841        0.023723       
4               0.518189        25.910017       1.125774        0.043449       
5               0.518316        25.916358       1.126367        0.043462       
6               0.518278        25.914500       1.126039        0.043452       
7               0.518290        25.915062       1.126127        0.043455       
8               0.518238        25.912482       1.126088        0.043457       
9               0.518256        25.913387       1.126428        0.043469       


////////////////////////////////////////
/////////// K := 7; N := 20; ///////////
////////////////////////////////////////

T = 1.0012457606367975 [s]

Server #        U               X [1/s]         n_avg           R [s]          
0               0.998758        199.751158      12.370697       0.061931       
1               0.399470        19.972458       0.710959        0.035597       
2               0.299678        19.977445       0.475123        0.023783       
3               0.299629        19.974205       0.474960        0.023779       
4               0.445137        22.255941       0.852414        0.038301       
5               0.445156        22.256837       0.852515        0.038304       
6               0.445190        22.258550       0.852415        0.038296       
7               0.445205        22.259282       0.852750        0.038310       
8               0.445129        22.255503       0.852538        0.038307       
9               0.445202        22.259140       0.852714        0.038308       
10              0.445228        22.260471       0.852915        0.038315       


////////////////////////////////////////
/////////// K := 8; N := 20; ///////////
////////////////////////////////////////

T = 1.0006220012283677 [s]

Server #        U               X [1/s]         n_avg           R [s]          
0               0.999436        199.875677      12.861157       0.064346       
1               0.399711        19.986226       0.712554        0.035652       
2               0.299811        19.988075       0.475790        0.023804       
3               0.299799        19.987282       0.475761        0.023803       
4               0.389749        19.487622       0.684310        0.035115       
5               0.389743        19.487332       0.684290        0.035115       
6               0.389710        19.485673       0.684223        0.035114       
7               0.389745        19.487444       0.684404        0.035120       
8               0.389789        19.489633       0.684421        0.035117       
9               0.389789        19.489620       0.684382        0.035115       
10              0.389765        19.488420       0.684387        0.035118       
11              0.389711        19.485734       0.684321        0.035119       


