////////////////////////////////////////
/////////// K := 2; N := 20; ///////////
////////////////////////////////////////

T = 1.649790210270918 [s]

Server #        U               X [1/s]         n_avg           R [s]          
0               0.606534        121.227535      1.985457        0.016378       
1               0.243036        12.142917       0.367712        0.030282       
2               0.182016        12.125058       0.269794        0.022251       
3               0.182041        12.126701       0.268989        0.022182       
4               0.946262        47.270590       8.537820        0.180616       
5               0.946595        47.287384       8.570228        0.181237       


////////////////////////////////////////
/////////// K := 3; N := 20; ///////////
////////////////////////////////////////

T = 1.1946497940819208 [s]

Server #        U               X [1/s]         n_avg           R [s]          
0               0.836923        167.413079      4.432055        0.026474       
1               0.334910        16.755694       0.543010        0.032407       
2               0.250940        16.739329       0.378428        0.022607       
3               0.250752        16.726748       0.378265        0.022614       
4               0.870350        43.529792       4.751694        0.109160       
5               0.870397        43.532095       4.756506        0.109264       
6               0.870165        43.520382       4.760041        0.109375       


////////////////////////////////////////
/////////// K := 4; N := 20; ///////////
////////////////////////////////////////

T = 1.047263460577864 [s]

Server #        U               X [1/s]         n_avg           R [s]          
0               0.954854        190.973912      7.793962        0.040812       
1               0.382035        19.093252       0.655586        0.034336       
2               0.286538        19.094132       0.443926        0.023249       
3               0.286529        19.093461       0.443785        0.023243       
4               0.744748        37.218403       2.657533        0.071404       
5               0.745367        37.248183       2.668688        0.071646       
6               0.745608        37.260567       2.671425        0.071696       
7               0.745271        37.243125       2.665095        0.071559       


////////////////////////////////////////
/////////// K := 5; N := 20; ///////////
////////////////////////////////////////

T = 1.0117696682929536 [s]

Server #        U               X [1/s]         n_avg           R [s]          
0               0.988868        197.673449      10.232291       0.051764       
1               0.395612        19.767928       0.694182        0.035117       
2               0.296953        19.784525       0.467323        0.023621       
3               0.296751        19.770961       0.466777        0.023609       
4               0.617443        30.856551       1.633798        0.052948       
5               0.616871        30.827731       1.625225        0.052720       
6               0.616139        30.791771       1.622577        0.052695       
7               0.617498        30.859444       1.628783        0.052781       
8               0.616932        30.830660       1.629044        0.052838       


////////////////////////////////////////
/////////// K := 6; N := 20; ///////////
////////////////////////////////////////

T = 1.0034634005016968 [s]

Server #        U               X [1/s]         n_avg           R [s]          
0               0.996600        199.309711      11.575947       0.058080       
1               0.399382        19.935012       0.708723        0.035552       
2               0.299186        19.911030       0.473523        0.023782       
3               0.299624        19.941053       0.474466        0.023793       
4               0.518852        25.916840       1.128641        0.043549       
5               0.518426        25.895023       1.126143        0.043489       
6               0.518510        25.899282       1.126586        0.043499       
7               0.518623        25.904907       1.127656        0.043531       
8               0.519191        25.933981       1.130632        0.043597       
9               0.518651        25.906389       1.127684        0.043529       


////////////////////////////////////////
/////////// K := 7; N := 20; ///////////
////////////////////////////////////////

T = 1.0014588961106362 [s]

Server #        U               X [1/s]         n_avg           R [s]          
0               0.998731        199.708646      12.368875       0.061935       
1               0.399454        19.961968       0.709650        0.035550       
2               0.299894        19.982616       0.475778        0.023810       
3               0.299645        19.965648       0.474905        0.023786       
4               0.445713        22.276551       0.855810        0.038418       
5               0.444801        22.232384       0.850720        0.038265       
6               0.445660        22.274028       0.854278        0.038353       
7               0.444875        22.235613       0.851970        0.038316       
8               0.445317        22.257558       0.852738        0.038312       
9               0.445205        22.251782       0.853621        0.038362       
10              0.444924        22.237894       0.851655        0.038297       


////////////////////////////////////////
/////////// K := 8; N := 20; ///////////
////////////////////////////////////////

T = 1.0004723873963407 [s]

Server #        U               X [1/s]         n_avg           R [s]          
0               0.999410        199.905567      12.856969       0.064315       
1               0.399286        19.966123       0.712016        0.035661       
2               0.299735        19.984236       0.475821        0.023810       
3               0.299804        19.988796       0.475606        0.023794       
4               0.389707        19.485255       0.685398        0.035175       
5               0.389552        19.477581       0.683969        0.035116       
6               0.389972        19.497917       0.685001        0.035132       
7               0.389886        19.494097       0.686166        0.035199       
8               0.390126        19.505671       0.686546        0.035197       
9               0.390132        19.505995       0.684733        0.035104       
10              0.389697        19.484907       0.683480        0.035077       
11              0.389652        19.482604       0.684295        0.035123       


