////////////////////////////////////////
/////////// K := 2; N := 10; ///////////
////////////////////////////////////////

T = 0.8829701726748325 [s]

Server #        U               X [1/s]         n_avg           R [s]          
0               0.566030        113.254109      1.650266        0.014571       
1               0.226131        11.325903       0.331909        0.029305       
2               0.169402        11.312801       0.246352        0.021776       
3               0.169894        11.345532       0.247652        0.021828       
4               0.882660        44.148762       3.753948        0.085030       
5               0.883246        44.178611       3.769872        0.085333       


////////////////////////////////////////
/////////// K := 3; N := 10; ///////////
////////////////////////////////////////

T = 0.6883598821948546 [s]

Server #        U               X [1/s]         n_avg           R [s]          
0               0.726515        145.272847      2.362945        0.016266       
1               0.290390        14.518380       0.432518        0.029791       
2               0.217983        14.531250       0.312869        0.021531       
3               0.217802        14.519074       0.312789        0.021543       
4               0.756075        37.793993       2.195307        0.058086       
5               0.755298        37.754329       2.189703        0.057999       
6               0.755612        37.770532       2.193869        0.058084       


////////////////////////////////////////
/////////// K := 4; N := 10; ///////////
////////////////////////////////////////

T = 0.6104376357411236 [s]

Server #        U               X [1/s]         n_avg           R [s]          
0               0.819128        163.816898      2.926453        0.017864       
1               0.326960        16.359549       0.497120        0.030387       
2               0.245793        16.397465       0.354137        0.021597       
3               0.245608        16.385394       0.353605        0.021580       
4               0.638682        31.948137       1.466212        0.045894       
5               0.638034        31.915556       1.467419        0.045978       
6               0.638970        31.962720       1.468378        0.045940       
7               0.638712        31.949757       1.466675        0.045906       


////////////////////////////////////////
/////////// K := 5; N := 10; ///////////
////////////////////////////////////////

T = 0.5742936586813261 [s]

Server #        U               X [1/s]         n_avg           R [s]          
0               0.870756        174.126944      3.329962        0.019124       
1               0.347836        17.398507       0.536977        0.030863       
2               0.261095        17.413519       0.378416        0.021731       
3               0.260978        17.405359       0.378238        0.021731       
4               0.542683        27.137326       1.074401        0.039591       
5               0.544169        27.210463       1.079243        0.039663       
6               0.542955        27.151181       1.074398        0.039571       
7               0.542983        27.152477       1.073293        0.039528       
8               0.543125        27.159491       1.075071        0.039584       


////////////////////////////////////////
/////////// K := 6; N := 10; ///////////
////////////////////////////////////////

T = 0.5545265508146888 [s]

Server #        U               X [1/s]         n_avg           R [s]          
0               0.901594        180.334016      3.619060        0.020069       
1               0.360791        18.036771       0.564264        0.031284       
2               0.270560        18.034502       0.394505        0.021875       
3               0.270400        18.023252       0.394395        0.021883       
4               0.468746        23.433113       0.838877        0.035799       
5               0.469040        23.448241       0.838415        0.035756       
6               0.469206        23.456725       0.837337        0.035697       
7               0.469370        23.465243       0.837974        0.035711       
8               0.468660        23.428912       0.836847        0.035719       
9               0.469167        23.454711       0.838328        0.035742       


////////////////////////////////////////
/////////// K := 7; N := 10; ///////////
////////////////////////////////////////

T = 0.5426662208931646 [s]

Server #        U               X [1/s]         n_avg           R [s]          
0               0.920981        184.275336      3.834601        0.020809       
1               0.368195        18.412951       0.580882        0.031547       
2               0.276644        18.446632       0.405981        0.022008       
3               0.276317        18.424398       0.405532        0.022011       
4               0.410678        20.541944       0.682606        0.033230       
5               0.410467        20.531597       0.681610        0.033198       
6               0.410530        20.534653       0.682068        0.033215       
7               0.410511        20.533715       0.681269        0.033178       
8               0.410275        20.522431       0.681515        0.033208       
9               0.410671        20.541667       0.683113        0.033255       
10              0.410189        20.518299       0.680822        0.033181       


////////////////////////////////////////
/////////// K := 8; N := 10; ///////////
////////////////////////////////////////

T = 0.53609624764271224 [s]

Server #        U               X [1/s]         n_avg           R [s]          
0               0.933192        186.533669      3.990127        0.021391       
1               0.373371        18.641204       0.595277        0.031933       
2               0.280525        18.672778       0.414449        0.022195       
3               0.280262        18.655775       0.413292        0.022154       
4               0.364429        18.195509       0.573846        0.031538       
5               0.364458        18.196829       0.573923        0.031540       
6               0.363721        18.160347       0.571950        0.031494       
7               0.364234        18.186123       0.573591        0.031540       
8               0.364747        18.211539       0.574205        0.031530       
9               0.363713        18.159850       0.572170        0.031507       
10              0.364330        18.190602       0.574038        0.031557       
11              0.364065        18.177245       0.573132        0.031530       


