////////////////////////////////////////
/////////// K := 2; N := 20; ///////////
////////////////////////////////////////

T = 1.64967 [s]

Server #       U              X [1/s]        n_avg          R [s]          
0              0.60618        121.236        1.51558        0.0125011      
1              0.242472       12.1236        0.31962        0.0263635      
2              0.181854       12.1236        0.222071       0.0183173      
3              0.181854       12.1236        0.222071       0.0183173      
4              0.945641       47.282         8.86033        0.187393       
5              0.945641       47.282         8.86033        0.187393       

////////////////////////////////////////
/////////// K := 3; N := 20; ///////////
////////////////////////////////////////

T = 1.19592 [s]

Server #       U              X [1/s]        n_avg          R [s]          
0              0.836175       167.235        4.1165         0.024615       
1              0.33447        16.7235        0.499577       0.0298728      
2              0.250852       16.7235        0.333687       0.0199532      
3              0.250852       16.7235        0.333687       0.0199532      
4              0.869622       43.4811        4.90552        0.11282        
5              0.869622       43.4811        4.90552        0.11282        
6              0.869622       43.4811        4.90552        0.11282        

////////////////////////////////////////
/////////// K := 4; N := 20; ///////////
////////////////////////////////////////

T = 1.04696 [s]

Server #       U              X [1/s]        n_avg          R [s]          
0              0.955149       191.03         7.94208        0.0415751      
1              0.38206        19.103         0.613562       0.0321186      
2              0.286545       19.103         0.399944       0.0209362      
3              0.286545       19.103         0.399944       0.0209362      
4              0.745016       37.2508        2.66112        0.0714378      
5              0.745016       37.2508        2.66112        0.0714378      
6              0.745016       37.2508        2.66112        0.0714378      
7              0.745016       37.2508        2.66112        0.0714378      

////////////////////////////////////////
/////////// K := 5; N := 20; ///////////
////////////////////////////////////////

T = 1.01129 [s]

Server #       U              X [1/s]        n_avg          R [s]          
0              0.98884        197.768        10.6291        0.0537455      
1              0.395536       19.7768        0.651321       0.0329336      
2              0.296652       19.7768        0.420751       0.021275       
3              0.296652       19.7768        0.420751       0.021275       
4              0.617036       30.8518        1.57561        0.0510702      
5              0.617036       30.8518        1.57561        0.0510702      
6              0.617036       30.8518        1.57561        0.0510702      
7              0.617036       30.8518        1.57561        0.0510702      
8              0.617036       30.8518        1.57561        0.0510702      

////////////////////////////////////////
/////////// K := 6; N := 20; ///////////
////////////////////////////////////////

T = 1.00333 [s]

Server #       U              X [1/s]        n_avg          R [s]          
0              0.996681       199.336        12.0694        0.0605481      
1              0.398672       19.9336        0.661385       0.0331794      
2              0.299004       19.9336        0.426033       0.0213726      
3              0.299004       19.9336        0.426033       0.0213726      
4              0.518274       25.9137        1.06952        0.0412725      
5              0.518274       25.9137        1.06952        0.0412725      
6              0.518274       25.9137        1.06952        0.0412725      
7              0.518274       25.9137        1.06952        0.0412725      
8              0.518274       25.9137        1.06952        0.0412725      
9              0.518274       25.9137        1.06952        0.0412725      

////////////////////////////////////////
/////////// K := 7; N := 20; ///////////
////////////////////////////////////////

T = 1.00124 [s]

Server #       U              X [1/s]        n_avg          R [s]          
0              0.99876        199.752        12.875         0.0644547      
1              0.399504       19.9752        0.664402       0.0332614      
2              0.299628       19.9752        0.427545       0.0214038      
3              0.299628       19.9752        0.427545       0.0214038      
4              0.445162       22.2581        0.800792       0.0359776      
5              0.445162       22.2581        0.800792       0.0359776      
6              0.445162       22.2581        0.800792       0.0359776      
7              0.445162       22.2581        0.800792       0.0359776      
8              0.445162       22.2581        0.800792       0.0359776      
9              0.445162       22.2581        0.800792       0.0359776      
10             0.445162       22.2581        0.800792       0.0359776      

////////////////////////////////////////
/////////// K := 8; N := 20; ///////////
////////////////////////////////////////

T = 1.00056 [s]

Server #       U              X [1/s]        n_avg          R [s]          
0              0.999435       199.887        13.3722        0.0668987      
1              0.399774       19.9887        0.665497       0.0332936      
2              0.299831       19.9887        0.428069       0.0214156      
3              0.299831       19.9887        0.428069       0.0214156      
4              0.38978        19.489         0.638273       0.0327504      
5              0.38978        19.489         0.638273       0.0327504      
6              0.38978        19.489         0.638273       0.0327504      
7              0.38978        19.489         0.638273       0.0327504      
8              0.38978        19.489         0.638273       0.0327504      
9              0.38978        19.489         0.638273       0.0327504      
10             0.38978        19.489         0.638273       0.0327504      
11             0.38978        19.489         0.638273       0.0327504      

